crops,Area Acres,Per Area yield (KG),Production in (KG),Year_range,crop_type,year mid point,crop indexing,location
gladiolas,498.62,6411.54,3196920,2024-2025,Flower Group (Temporary ) ,2024.5,1,Bangladesh
"otherflowers(dalia,chandramallika,cosmos,beli)",273,1659,453000,2015-2016,Flower Group (Temporary ) ,2015.5,1,Bangladesh
"otherflowers(dalia,chandramallika,cosmos,beli)",219,1614,353000,2016-2017,Flower Group (Temporary ) ,2016.5,1,Bangladesh
"otherflowers(dalia,chandramallika,cosmos,beli)",371,1774,658000,2017-2018,Flower Group (Temporary ) ,2017.5,1,Bangladesh
rajanigandha(tuberose),885,1988,1759000,2018-2019,Flower Group (Temporary ) ,2018.5,1,Bangladesh
rajanigandha(tuberose),1217.13,3367.29,4098430,2021-2022,Flower Group (Temporary ) ,2021.5,1,Bangladesh
rajanigandha(tuberose),757,3413,2584000,2015-2016,Flower Group (Temporary ) ,2015.5,1,Bangladesh
rajanigandha(tuberose),1189,3501,4163000,2016-2017,Flower Group (Temporary ) ,2016.5,1,Bangladesh
rajanigandha(tuberose),2030,2404,4880000,2017-2018,Flower Group (Temporary ) ,2017.5,1,Bangladesh
rajanigandha(tuberose),903.27,2385.38,2155000,2019-2020,Flower Group (Temporary ) ,2019.5,1,Bangladesh
rajanigandha(tuberose),1235.56,3342.27,4129570,2020-2021,Flower Group (Temporary ) ,2020.5,1,Bangladesh
rajanigandha(tuberose),663,5201.92,3448870,2022-2023,Flower Group (Temporary ) ,2022.5,1,Bangladesh
rajanigandha(tuberose),653.37,7237.74,4728920,2023-2024,Flower Group (Temporary ) ,2023.5,1,Bangladesh
rajanigandha(tuberose),676.86,7430.87,5029660,2024-2025,Flower Group (Temporary ) ,2024.5,1,Bangladesh
banana(ripe),117159,6811,798012000,2015-2016,FRUITS (Temporary),2015.5,1,Bangladesh
banana(ripe),120203,6715,807104000,2016-2017,FRUITS (Temporary),2016.5,1,Bangladesh
banana(ripe),121384,6676,810347000,2017-2018,FRUITS (Temporary),2017.5,1,Bangladesh
